Updated 3/5/2017,CPU,Blck,Core Mult,Core Freq,Cache Freq,Vcore in Bios,Vcore,Fclk,Cooler,Stability,Batch,Ram Settings,Motherboard,Additional Comments,Picture Verified?,VCCIO,SA
bazookatooths,6600k,100,48,4.8,3.5,1.385,1.368,0.8,H220-X,Realbench 8hr,Malay L531B218,XMP 2400 16-16-16-39 @ 1.2,Gigabyte z170 Gaming 7,LLC High,Yes,,
mccalas,6600k,100,48,4.8,3.5,1.425,1.416,1,H100i GTX,P95 v28.7 7hr,L521B469,2666 16-18-18-36 @ 1.2v,Gigabyte z170 Gaming 7,LLC High,Yes,,
Phreec,6700k,102,47,4.794,4.08,1.375,1.424,,D15,"P95 v27.9, 9hr x264",Malay L5205B417,2991 15-17-17-35 @ 1.355v (XMP 3000),Asus z170 Pro Gaming,LLC Auto,Yes,,
GroinShooter,6700k,111.2,43,4.783,4.226,1.435,1.454,1111,"Custom Loop, 360mm + Delid",OCCT L 6hr,Malay L549B954,2816 15-15-15-34 @ 1.2v,MSI z170 M7,LLC Mode 1,Yes,1.2,1.2
EniGma1987,6700k,136,35,4.76,4.625,1.49,1.424,1.36,"Custom Loop, 360mm, Delid","P95 v28.7 Small 7.5hr, x264 16T x10, Firestrike",L523B2xx,2992 15-15-15-36-2T @ 1.36v,ASRock z170 Extreme7+,Claims another 4hr of P95 v28.7 8k fft,,,
jmpboy,6300,125,38,4.75,4.75,1.475,1.472,1.25,Custom Loop (Koolance 380i block),P95 v28.7 1hr,X536a787,3666 17-19-19-46 @ 1.425v,Asus z170 Extreme,LLC Level 5,Yes,1.2125,1.2375
SteveRo,G4400,143.4,33,4.733,0.733,1.455,1.456,1.147,"Custom Loop, 2 x480mm",P95 v28.7 1hr,L536C126,3633 15-17-17-36 @ 1.4v,ASRock z170 OC Formula,LLC Level 1,Yes,1.2,1.2
misoonigiri,6700k,105,45,4.725,4.305,1.36,1.36,1.05,Noctua D15S,x264 16T 10hr (x83),Malay L547B352,3255 16-16-16-36-2T @ 1.35v,Asus z170 Hero,"LLC Level 5, Also claims 4hr Realbench",Yes,,
theunknownkid,6700k,100.13,47,4.71,4.1,1.44,1.416,,D15,"x264 16T x91, Realbench 8hr",,3600 18-19-19-39 @ 1.35v,MSI z170 Gaming M7,Max temp 74C,Yes,,
Ottesen,6700k,100,47,4.7,4.7,1.36,1.344,1,H100,"x264 x35, Aida64 10hr",L602F480,2133 14-14-14 @ 1.2v,Gigabyte z170 K3,LLC High,Yes,,
shredzy,6700k,100,47,4.7,4.7,1.37,1.376,1,Kraken x61,"Realbench 8hr, x264 16T 8hr",Malay L523B475,3200 16-16-16-36 @ 1.35v,Asus z170 Hero,LLC Level 5,Yes,,
THE REAL 7,6700k,100,47,4.7,4.7,1.43,1.424,1,"Custom Loop, 360mm","Realbench 4hr, x264 8hr, P95 27.9 9hr ",L523B383,3200 16-18-18-36 @ 1.35v,Asus z170 Hero,"LLC Level 5, 0902 BIOS",Yes,,
RomeoOG,6600k,100,47,4.7,4.6,1.375,1.39,,H100i v2,"P95 v28.7 Blend 1hr, Realbench 8hr, x265 8hr (x54)",Vietnam X548B256,XMP 3200 16-18-18-36 @ 1.35v,Asus z170 Pro Gaming,LLC Level 7,Yes,1.1,
deathroll,6700k,100,47,4.7,4.6,1.4 + 0.004,1.44,1,D14,"x264 16T x80 (~10hr), Realbench 8hr, HWBot x265 4k/8x Overkill",L535B145,2666 15-17-17-35 @ 1.2v,Asus z170 Hero,Level 5,Yes,,
llantant,6700k,100,47,4.7,4.5,1.375,1.392,1,H110i GTX,"P85 28.7 6hr, 1200% HCI, 2 hr StressAppTest",Malay L519B932,3733 17-17-17-37 @ 1.38v,Asus z170 Hero,"LLC Level 5, CPU/Ram current 140%, Cstates and EIST on, 4.8ghz @ 1.408v w/ x264",Yes,1.225,1.2375
Duality92,6600k,100,47,4.7,4.5,1.52,1.48,,"Custom Loop, 360mm + PP Vadar",x264 16T 5hr,X543B386,3333 14-16-16-36 @ 1.5v,MSI z170 M5,"No LLC on MSI mobos, he's mad bro",?,,
Jona1109,6600k,100,47,4.7,4.4,1.405,1.408,1,Enermax Liqtech 240,OCCT 4.4.1 L 1hr,X530B513,3000 15-16-16-28,ASrock z170 Gaming K4,LLC Level 2,Yes,,
SmokeySiFy,6600k,100,47,4.7,4.2,Offset +0.105,1.366,1,H110i GT,P95 v28.7 1.5hr,Malay L524B274,2666 15-17-17-35 @ 1.205v,Asus z170 AR,,Yes,,
madmanmarz,6600k,100,47,4.7,4.2,1.4,1.444,1,"Custom Loop, Delid Reseal",x264 16T 12hr (x81),Malay L524B278,DDR3 1500 7-8-8 @ 1.65v,ASRock K4/D3,"LLC Level 2, 4.6 @ 1.375v pre-delid; Also claims 3 hours of P95 v28.7",Yes,,
TomcatV,6700k,100,47,4.7,4.1,1.28,1.326,1,Kraken x61,P95 v28.9 Blend 1hr,Malay L609F028,XMP 2800 15-17-17-37 @ 1.35v,Asus z170 Hero,LLC Level 5,Yes,,
ASFOMP,6700k,100,47,4.7,4.1,1.256,1.328,,H110i GT,Realbench 8hr,Malay L519B744,XMP 3000 15-15-15-35 @ 1.35v,Asus z170 Hero,LLC Level 5,Yes,,
Abovethelaw,6700k,100,47,4.7,4.1,1.33,1.328,,H240-X,x264 6hr,Malay L527B622,3200 16-16-16-35 @ 1.25v,ASRock z170 Extreme+,"LLC Level 2, also claims P95 v26.6 1hr",Yes,,
